pair_id,start_node,goal_node,algorithm_name,weight,path_found,total_path_cost,nodes_expanded,execution_time,total_path_length,average_traffic,average_accident_risk,average_bumpiness,average_safety,cumulative_safety,cumulative_contextual_penalty,safe_passage_score
1,4611240095,3095044665,Greedy best-first search,,True,30821.976532435718,2749,0.012615457992069423,15424.616755660454,0.6499323317267539,0.4702443095267985,0.27194750600353196,0.5155086445178682,94.33808194676988,137.22578875555885,-0.7498676981178081
1,4611240095,3095044665,A* search,,True,21669.692145144487,12861,0.08712895796634257,11085.718473889516,0.6352321767633559,0.46927802364165044,0.2667074896843722,0.5214498372132935,87.08212281462002,121.32373676225767,-0.7264894416901656
1,4611240095,3095044665,Weighted A*,1.5,True,21669.692145144487,7689,0.03515791695099324,11085.718473889516,0.6352321767633559,0.46927802364165044,0.2667074896843722,0.5214498372132935,87.08212281462002,121.32373676225767,-0.7264894416901656
2,9894521707,4929774339,Greedy best-first search,,True,16507.021855820607,156,0.0009437080007046461,8263.720393922957,0.649234578788535,0.46721979497684735,0.302708000085488,0.5110781288579183,33.220078375764686,49.971971827543236,-0.7687995665775882
2,9894521707,4929774339,A* search,,True,13550.302057919183,3268,0.015089250053279102,6912.4907997538285,0.6297317672986432,0.45882284116510963,0.2995166183138848,0.5217657255650753,38.08889796625049,53.246781172976824,-0.729407961273655
2,9894521707,4929774339,Weighted A*,1.5,True,13550.302057919183,3462,0.014942750101909041,6912.4907997538285,0.6297317672986432,0.45882284116510963,0.2995166183138848,0.5217657255650753,38.08889796625049,53.246781172976824,-0.729407961273655
3,4923880109,5638893743,Greedy best-first search,,True,32435.429114808026,2192,0.010595790925435722,15654.114279594074,0.6508587536252454,0.454750195408283,0.29195385372291527,0.5189765054637018,72.13773425945455,103.16495209748126,-0.7421938999818796
3,4923880109,5638893743,A* search,,True,23613.027811501048,4383,0.022785292007029057,11270.010965730851,0.6504702660704937,0.46536305603138495,0.2744047654921216,0.5172964390647351,55.350718979926654,79.67958528215011,-0.7446690213285058
3,4923880109,5638893743,Weighted A*,1.5,True,23916.109126693802,3102,0.0273921670159325,11440.523031012146,0.6490933407086988,0.4629911006903482,0.27758132879325664,0.5182601816835649,55.453839440141444,79.36862312988733,-0.7417628329896011
4,9354841428,9918479572,Greedy best-first search,,True,38020.47689780086,2162,0.010773250018246472,19444.97262630155,0.645459454906385,0.4760617326387444,0.2710355135890221,0.5141241944909078,119.27681312189063,174.71421872356206,-0.7530785289808708
4,9354841428,9918479572,A* search,,True,27401.000757070902,20002,0.10995679197367281,14215.929775223432,0.6305805878950568,0.4675994893629365,0.26508962286372495,0.5240081543772698,111.61373688235845,152.70557597684402,-0.7169275867457464
4,9354841428,9918479572,Weighted A*,1.5,True,28812.16318687928,5943,0.03031783294863999,15269.744195617715,0.6283837552785478,0.46078069906746016,0.2674917214268911,0.5275961795973273,120.29192894819063,160.80908445228513,-0.7053030019837067
5,6685561947,9977456404,Greedy best-first search,,True,65120.013112337925,1308,0.006111416034400463,31172.261665818376,0.6523942532110614,0.48127025682270985,0.3156815916484255,0.5005102772956416,87.58929852673728,140.9538879154612,-0.8054507880883498
5,6685561947,9977456404,A* search,,True,49187.61519177361,9098,0.0417942920466885,22471.199027350427,0.6671913711551009,0.5241503284041636,0.25719144604906474,0.486329135241575,65.16810412237105,113.23312590805266,-0.8450233276720347
5,6685561947,9977456404,Weighted A*,1.5,True,50849.16901615017,2747,0.012268749997019768,23043.067728140148,0.7014622558835683,0.5423227966465054,0.28973629877989227,0.4604526651556984,52.491603827749614,107.30366516192089,-0.9412602207186044
6,5606298078,10904372221,Greedy best-first search,,True,42288.08427040893,419,0.0019015829311683774,19679.47890301531,0.7030254492192305,0.518607158577841,0.2904629055218805,0.47169620484093433,38.67908879695661,74.27333001082039,-0.9057723172051266
6,5606298078,10904372221,A* search,,True,27386.857122565885,1332,0.005942916963249445,11129.865686245003,0.812167243990207,0.6894971112375196,0.19044962033614485,0.37351134711694917,18.67556735584746,61.50778835185978,-1.2301557670371956
6,5606298078,10904372221,Weighted A*,1.5,True,27386.857122565885,866,0.003572415909729898,11129.865686245003,0.812167243990207,0.6894971112375196,0.19044962033614485,0.37351134711694917,18.67556735584746,61.50778835185978,-1.2301557670371956
7,4982441082,364769719,Greedy best-first search,,True,17713.981972932186,622,0.003151958924718201,9093.50451176091,0.650927762694343,0.4875207973391542,0.28015859617233496,0.504929553287653,50.4929553287653,78.52734679137266,-0.7852734679137264
7,4982441082,364769719,A* search,,True,15659.961081234658,5382,0.024708874989300966,7773.5169642782275,0.6805854322527195,0.5421479778150374,0.22800454581635607,0.4791494722533942,41.206854613791904,74.5226911079951,-0.8665429198604082
7,4982441082,364769719,Weighted A*,1.5,True,15945.666172501436,2397,0.030655832961201668,8182.2280147398915,0.6596868396398432,0.5017935818149145,0.25989141034405083,0.49921887513177965,44.929698761860166,72.21663600722242,-0.8024070667469159
8,13048507783,7876536789,Greedy best-first search,,True,30616.421710225703,2045,0.008992791990749538,14947.377567986614,0.6653141048360367,0.46890644684583155,0.3278053980027532,0.5003914655257224,33.52622819022341,54.32839446363808,-0.8108715591587773
8,13048507783,7876536789,A* search,,True,29635.817564280427,7380,0.03323862503748387,14318.663078270645,0.6769834115064062,0.48406442316032755,0.31452864061443286,0.4919670368450278,30.009989247546695,51.14887108470123,-0.8385060833557578
8,13048507783,7876536789,Weighted A*,1.5,True,29635.817564280427,3568,0.016321833012625575,14318.663078270645,0.6769834115064062,0.48406442316032755,0.31452864061443286,0.4919670368450278,30.009989247546695,51.14887108470123,-0.8385060833557578
9,11041705071,5063365599,Greedy best-first search,,True,21722.3159043694,2588,0.01262004196178168,11112.70151070353,0.6172267838170978,0.46577275457554945,0.2951344301100433,0.5229187015450872,67.97943120086134,93.86209195862605,-0.7220160919894313
9,11041705071,5063365599,A* search,,True,17783.581877150078,6472,0.03037666599266231,8562.880249205751,0.652037040225709,0.5006684709278897,0.27194958397600955,0.49966473567314057,41.97183779654381,67.29018819064767,-0.8010736689362818
9,11041705071,5063365599,Weighted A*,1.5,True,17811.49574995579,4320,0.0369188750628382,8752.142047371848,0.6465517514524394,0.5018613441494971,0.2713793749015775,0.5008279275092041,46.07616933084678,73.22682521191139,-0.7959437523033848
10,4889130220,7876464369,Greedy best-first search,,True,63211.57271087043,26231,0.11525166698265821,31843.22936810545,0.6150416751409772,0.4496312131985696,0.3020133114929876,0.5302692285598245,143.17269171115262,188.74906212994398,-0.6990706004812741
10,4889130220,7876464369,A* search,,True,41767.61024590966,73427,0.38540487503632903,20848.82023809745,0.6434457529110695,0.47787183714824766,0.2845322591158784,0.5111239037293797,100.6914090346878,150.57806309396693,-0.7643556502231825
10,4889130220,7876464369,Weighted A*,1.5,True,42234.95311588474,49482,0.24432258296292275,21146.728886631867,0.6425349943966793,0.4749055855801089,0.2862129042213709,0.5125441280466676,101.99628148128686,151.21238946267593,-0.7598612535812861
11,9977033409,6643091489,Greedy best-first search,,True,49149.09075773492,1877,0.010269458987750113,25286.111593528054,0.6374838896400508,0.4546405707070463,0.28434607817248764,0.5245653321199641,153.17307697902953,210.20567342529893,-0.7198824432373252
11,9977033409,6643091489,A* search,,True,34859.49209731289,18887,0.10444145801011473,17121.879145249197,0.6590845087749088,0.4896593041787012,0.2558393539841267,0.5062771244813514,93.66126802905002,144.12013937457604,-0.7790277804031138
11,9977033409,6643091489,Weighted A*,1.5,True,34859.49209731289,21791,0.12431587500032037,17121.879145249197,0.6590845087749088,0.4896593041787012,0.2558393539841267,0.5062771244813514,93.66126802905002,144.12013937457604,-0.7790277804031138
12,4921885917,2462647819,Greedy best-first search,,True,29207.676767805708,817,0.003993917023763061,14614.451075057048,0.6561743152363397,0.4940985821964716,0.2622412739690685,0.5036501595370486,88.64242807852055,138.64574749928622,-0.787759928973217
12,4921885917,2462647819,A* search,,True,20613.50543178745,9298,0.04301537503488362,10006.14992583962,0.6711761645476375,0.5343058908015752,0.22275259938952674,0.4869436853570158,70.11989069141028,120.74441792418818,-0.8385029022513066
12,4921885917,2462647819,Weighted A*,1.5,True,22146.733718235242,5088,0.040472041931934655,10963.714446894735,0.646531563386915,0.49817815476969346,0.25054573592625823,0.5068423064138271,81.60161133262616,124.51088150232707,-0.7733595124368141
